loan_id,age,annual_income,loan_amount,loan_term_months,interest_rate,credit_score,employment_years,num_credit_lines,debt_to_income,loan_purpose,home_ownership,default
L00077,47,42299,28451,36,18.51,558,8,8,0.673,debt_consolidation,OWN,0
L00078,46,38042,45168,12,18.54,679,22,6,1.187,car,RENT,0
L00079,62,46772,26086,36,7.19,462,5,1,0.558,vacation,RENT,0
L00080,50,55984,18489,60,15.83,640,18,4,0.33,medical,RENT,0
L00081,36,56783,30004,36,15.8,829,13,6,0.528,medical,MORTGAGE,0
L00082,22,27688,22471,36,17.97,333,0,1,0.812,home_improvement,RENT,1
L00083,46,45260,28284,24,6.62,622,25,5,0.625,debt_consolidation,RENT,0
L00084,28,60061,38693,60,16.9,480,15,3,0.644,home_improvement,RENT,0
L00085,30,39215,20292,48,10.33,646,8,7,0.517,home_improvement,MORTGAGE,0
L00086,45,34933,20433,48,14.63,491,22,8,0.585,education,RENT,0
L00087,22,15000,16568,60,19.69,545,14,3,1.105,car,RENT,0
L00088,29,43062,47424,48,18.41,544,18,3,1.101,medical,MORTGAGE,0
L00089,45,34306,11466,12,7.26,432,9,3,0.334,vacation,MORTGAGE,0
L00090,32,37289,27521,48,16.23,496,15,6,0.738,debt_consolidation,MORTGAGE,0
L00091,38,50107,38672,12,23.41,646,24,6,0.772,vacation,MORTGAGE,0
L00092,29,44203,17467,60,7.98,348,2,3,0.395,debt_consolidation,RENT,0
L00093,56,34007,34019,48,21.21,363,18,6,1.0,medical,MORTGAGE,0
L00094,56,16914,12419,48,18.35,403,12,9,0.734,car,RENT,0
L00095,54,60441,18676,12,19.71,512,13,8,0.309,vacation,MORTGAGE,0
L00096,26,68550,31255,12,10.36,816,6,7,0.456,debt_consolidation,RENT,0
L00097,63,47858,33514,36,10.47,418,1,7,0.7,home_improvement,RENT,0
L00098,60,50216,45182,24,22.21,541,25,8,0.9,medical,RENT,0
L00099,62,55050,24650,48,11.84,579,13,7,0.448,car,RENT,0
L00100,49,83418,24754,24,6.2,723,22,3,0.297,education,OWN,0
L00101,28,26781,14165,24,16.41,662,22,8,0.529,home_improvement,OWN,0
L00102,30,47539,12683,48,7.37,605,16,8,0.267,car,OWN,0
L00103,29,24004,34556,12,20.14,785,12,1,1.44,debt_consolidation,RENT,1
L00104,33,61521,17442,36,17.19,613,25,5,0.284,home_improvement,RENT,0
L00105,55,52408,6860,60,21.62,812,26,5,0.131,education,OWN,0
L00106,54,58653,5729,48,19.91,466,1,1,0.098,education,MORTGAGE,0
L00107,44,57756,33351,48,7.13,693,4,6,0.577,car,RENT,0
L00108,45,72832,49168,60,12.24,362,29,6,0.675,medical,OWN,0
L00109,58,64686,26346,24,19.72,571,3,4,0.407,vacation,MORTGAGE,0
L00110,56,69949,10619,36,12.93,336,29,6,0.152,education,RENT,0
L00111,61,35820,13164,24,23.47,315,2,6,0.368,education,RENT,0
L00112,43,76477,40878,60,18.98,642,25,1,0.535,vacation,RENT,0
L00113,48,41997,8955,60,5.29,645,13,5,0.213,home_improvement,MORTGAGE,0
L00114,56,43032,2106,36,21.72,838,10,2,0.049,medical,RENT,0
L00115,22,59875,6754,60,6.92,532,7,7,0.113,medical,RENT,0
L00116,56,60434,46293,60,7.67,715,22,9,0.766,car,MORTGAGE,0
L00117,58,35706,23662,36,18.96,566,8,9,0.663,home_improvement,RENT,0
L00118,35,51880,8408,48,21.43,625,15,9,0.162,medical,OWN,0
L00119,24,81788,42403,24,15.19,742,2,7,0.518,car,RENT,0
L00120,22,28569,3225,48,10.49,375,9,7,0.113,medical,MORTGAGE,0
L00121,26,81733,14196,48,11.67,546,0,1,0.174,home_improvement,MORTGAGE,0
L00122,47,50649,6250,24,11.51,612,8,6,0.123,medical,OWN,0
L00123,35,15000,17372,48,11.21,642,15,5,1.158,medical,RENT,0
L00124,60,30398,19279,36,9.62,481,8,8,0.634,medical,RENT,0
L00125,48,37657,46865,24,16.57,698,27,8,1.245,vacation,OWN,0
L00126,30,43769,32193,12,22.11,540,11,4,0.736,debt_consolidation,RENT,0
L00127,36,53115,46823,48,10.83,591,0,1,0.882,home_improvement,OWN,0
L00128,36,15000,28868,60,8.55,353,15,6,1.925,vacation,OWN,1
L00129,47,58362,40187,24,20.93,444,29,1,0.689,debt_consolidation,MORTGAGE,0
L00130,63,36008,30475,12,19.09,655,7,5,0.846,education,RENT,0
L00131,34,80029,46552,60,22.69,776,13,5,0.582,medical,OWN,0
L00132,53,50136,4433,12,8.14,321,13,3,0.088,medical,MORTGAGE,0
L00133,60,71971,12998,48,7.74,630,9,5,0.181,vacation,OWN,0
L00134,53,74986,46343,60,15.29,591,0,6,0.618,car,MORTGAGE,0
L00135,25,74498,33133,48,16.67,535,5,5,0.445,home_improvement,RENT,0
L00136,51,44804,36069,60,14.12,328,8,1,0.805,debt_consolidation,MORTGAGE,0
L00137,58,44574,8858,24,16.38,459,18,7,0.199,medical,MORTGAGE,0
L00138,44,50950,10950,36,8.43,829,21,3,0.215,home_improvement,RENT,0
L00139,60,66452,10938,36,14.11,849,15,7,0.165,medical,RENT,0
L00140,36,45807,27168,12,17.5,400,18,5,0.593,medical,RENT,0
L00141,64,52853,34099,60,13.22,589,10,3,0.645,medical,OWN,0
L00142,50,59924,7644,48,17.91,676,29,6,0.128,home_improvement,OWN,0
L00143,57,38711,45846,24,13.57,472,20,1,1.184,vacation,RENT,0
L00144,34,37574,11260,24,11.34,642,10,6,0.3,home_improvement,MORTGAGE,0
L00145,53,52151,49458,24,10.77,490,13,4,0.948,home_improvement,MORTGAGE,0
L00146,28,54535,38075,36,12.81,738,6,4,0.698,education,MORTGAGE,0
L00147,43,62809,18488,48,5.44,642,26,5,0.294,car,OWN,0
L00148,49,67093,2395,24,17.7,424,25,9,0.036,car,OWN,0
L00149,23,35216,12845,24,21.06,659,11,1,0.365,vacation,MORTGAGE,0
L00150,63,40382,38059,12,11.74,802,19,3,0.942,car,RENT,0
L00151,27,37526,20394,60,5.87,472,19,4,0.543,vacation,MORTGAGE,0
L00152,49,80424,30457,60,23.75,693,22,2,0.379,medical,OWN,0
L00153,49,52835,47906,60,10.01,760,4,9,0.907,medical,RENT,0
L00154,41,55290,39305,12,7.41,419,0,7,0.711,home_improvement,RENT,0
L00155,51,56039,44628,36,12.03,572,10,1,0.796,medical,RENT,0
L00156,32,42117,23352,12,19.03,657,14,9,0.554,car,RENT,0
L00157,49,83156,23146,24,10.58,685,9,6,0.278,debt_consolidation,OWN,0
L00158,46,62398,19435,48,15.92,618,28,2,0.311,home_improvement,MORTGAGE,1
L00159,60,55712,41386,24,12.9,560,14,1,0.743,vacation,RENT,0
L00160,54,35105,39491,24,7.24,580,27,6,1.125,medical,RENT,0
L00161,22,34085,21968,48,11.28,628,12,7,0.645,home_improvement,OWN,0
L00162,48,49439,49605,60,18.77,423,14,6,1.003,home_improvement,RENT,0
L00163,34,42400,10539,12,16.63,775,1,7,0.249,home_improvement,RENT,0
L00164,62,35786,3263,36,7.28,577,21,6,0.091,medical,RENT,0
L00165,24,48322,15305,24,8.1,392,12,8,0.317,vacation,RENT,0
L00166,60,51104,26398,24,17.17,846,11,2,0.517,home_improvement,RENT,0
L00167,27,57552,45702,36,20.45,427,24,9,0.794,home_improvement,RENT,1
L00168,29,45929,34080,12,11.64,831,22,9,0.742,home_improvement,MORTGAGE,0
L00169,48,36863,12265,24,16.31,466,3,9,0.333,education,RENT,0
L00170,30,37487,34152,36,8.24,535,27,7,0.911,medical,RENT,0
L00171,58,76833,29724,24,10.92,331,11,9,0.387,education,MORTGAGE,0
L00172,54,32468,32624,60,5.39,530,14,1,1.005,car,OWN,0
L00173,63,61537,36119,60,19.6,490,12,3,0.587,vacation,RENT,0
L00174,45,64351,41958,24,12.62,807,1,2,0.652,home_improvement,RENT,0
L00175,36,52817,31389,24,20.51,756,19,1,0.594,education,OWN,0
L00176,53,86820,18650,60,18.46,554,15,5,0.215,home_improvement,OWN,0
L00177,53,64030,28014,24,20.75,578,13,1,0.438,education,RENT,0
L00178,45,88172,12885,12,10.43,355,20,3,0.146,home_improvement,RENT,0
L00179,62,43280,9434,12,8.52,405,1,6,0.218,medical,MORTGAGE,0
L00180,33,43588,32028,48,23.47,491,16,6,0.735,car,OWN,0
L00181,60,64495,3022,12,18.63,577,15,3,0.047,home_improvement,RENT,0
L00182,23,50293,26331,24,20.85,843,3,4,0.524,education,RENT,0
L00183,24,85341,4037,24,5.25,474,10,7,0.047,home_improvement,RENT,0
L00184,58,61150,10756,36,11.73,384,12,6,0.176,medical,RENT,0
L00185,38,36197,48326,12,19.11,515,5,2,1.335,vacation,MORTGAGE,1
L00186,23,23737,19443,60,6.48,313,16,9,0.819,vacation,RENT,0
L00187,23,53591,36192,60,15.78,336,0,6,0.675,car,MORTGAGE,1
L00188,49,53395,6123,48,13.15,326,8,2,0.115,vacation,RENT,0
L00189,44,60647,18603,36,5.33,369,20,7,0.307,home_improvement,RENT,0
L00190,58,76792,2405,60,9.48,453,17,4,0.031,medical,RENT,0
L00191,53,74424,44597,48,10.41,737,10,1,0.599,home_improvement,OWN,0
L00192,54,44579,20702,12,7.13,570,13,9,0.464,home_improvement,OWN,0
L00193,22,31711,44719,36,17.0,840,1,8,1.41,car,MORTGAGE,0
L00194,40,32785,28250,36,9.61,373,19,5,0.862,vacation,OWN,0
L00195,23,41737,43751,24,10.27,448,10,3,1.048,vacation,RENT,0
L00196,47,48398,23442,12,22.07,805,1,4,0.484,vacation,MORTGAGE,0
L00197,53,60491,19693,36,13.88,309,3,3,0.326,education,RENT,0
L00198,27,40582,26005,48,12.45,801,26,8,0.641,home_improvement,OWN,1
L00199,53,60047,46793,60,18.75,361,12,5,0.779,medical,RENT,0
L00200,25,61516,39697,12,22.28,687,5,8,0.645,medical,RENT,0
L00201,32,57580,30988,12,5.48,531,6,1,0.538,home_improvement,MORTGAGE,0
L00202,38,34684,34333,36,13.52,827,21,9,0.99,debt_consolidation,RENT,0
L00203,59,63420,31992,36,16.6,849,19,3,0.504,home_improvement,MORTGAGE,0
L00204,45,92462,11522,36,11.05,744,25,1,0.125,education,MORTGAGE,0
L00205,26,59426,47406,48,19.68,620,2,3,0.798,vacation,RENT,0
L00206,55,15000,43470,24,23.46,382,3,2,2.898,home_improvement,RENT,1
L00207,27,77335,45532,36,22.93,733,27,7,0.589,education,MORTGAGE,0
L00208,43,42350,14121,24,10.05,316,20,4,0.333,debt_consolidation,MORTGAGE,0
L00209,32,95782,16219,24,9.3,668,19,7,0.169,home_improvement,RENT,0
L00210,37,57094,3617,12,23.19,554,2,3,0.063,vacation,MORTGAGE,0
L00211,54,24675,45016,60,13.71,755,0,6,1.824,car,MORTGAGE,1
L00212,30,17835,26276,60,8.96,832,18,7,1.473,medical,OWN,0
L00213,27,82715,36351,48,18.43,691,26,7,0.439,debt_consolidation,MORTGAGE,0
L00214,37,74906,8704,48,10.4,619,20,5,0.116,car,RENT,0
L00215,50,95068,42756,60,10.08,519,12,6,0.45,medical,OWN,1
L00216,24,55196,19959,60,21.71,713,13,3,0.362,car,RENT,0
L00217,41,53982,30522,12,8.09,331,21,4,0.565,home_improvement,RENT,0
L00218,57,48111,11953,12,6.22,315,27,6,0.248,home_improvement,MORTGAGE,0
L00219,40,43150,28567,60,10.11,708,15,3,0.662,medical,RENT,0
L00220,47,47936,24560,36,16.53,472,29,7,0.512,medical,OWN,0
L00221,24,58914,4613,36,7.34,478,28,3,0.078,home_improvement,MORTGAGE,0
L00222,40,39809,38660,12,13.96,796,3,9,0.971,home_improvement,RENT,0
L00223,41,24952,47104,24,16.92,403,16,4,1.888,education,RENT,0
L00224,53,57877,41501,60,21.13,616,9,2,0.717,medical,OWN,0
L00225,28,39408,39199,48,9.37,480,28,6,0.995,medical,RENT,0
L00226,62,15000,26496,36,20.53,431,6,9,1.766,education,MORTGAGE,0
L00227,54,64946,19765,24,9.46,454,12,2,0.304,medical,RENT,0
L00228,61,35054,27721,36,17.86,658,24,4,0.791,vacation,OWN,0
L00229,60,66912,5515,24,13.18,534,12,5,0.082,education,RENT,0
L00230,39,66481,6454,60,7.18,464,21,9,0.097,vacation,RENT,0
L00231,61,60104,42537,60,18.57,726,13,7,0.708,home_improvement,RENT,0
L00232,22,99942,24873,60,9.14,787,5,5,0.249,vacation,RENT,0
L00233,32,52515,10384,12,8.36,512,15,6,0.198,debt_consolidation,OWN,0
L00234,49,49858,15727,24,11.81,456,8,9,0.315,home_improvement,OWN,0
L00235,46,67306,5534,48,17.41,374,19,4,0.082,debt_consolidation,RENT,0
L00236,44,54001,35523,48,9.45,734,15,2,0.658,car,RENT,0
L00237,52,75888,33889,60,8.49,477,20,5,0.447,debt_consolidation,OWN,0
L00238,51,32161,27465,48,5.19,611,20,7,0.854,car,MORTGAGE,0
L00239,63,32460,32593,36,13.96,426,29,4,1.004,debt_consolidation,OWN,0
L00240,56,68784,23330,24,13.14,676,11,1,0.339,car,RENT,0
L00241,28,34033,10302,24,9.44,644,15,8,0.303,car,MORTGAGE,0
L00242,37,65963,14907,24,6.02,524,4,5,0.226,home_improvement,MORTGAGE,0
L00243,47,61660,26430,36,13.16,316,23,2,0.429,medical,RENT,0
L00244,23,42499,43752,12,19.98,796,10,3,1.029,medical,OWN,0
L00245,22,61609,49153,36,18.59,772,0,5,0.798,home_improvement,OWN,0
L00246,33,32777,9181,24,21.36,610,9,4,0.28,car,MORTGAGE,0
L00247,26,37001,48213,24,5.18,436,10,9,1.303,medical,OWN,0
L00248,58,50730,14875,24,23.36,774,14,9,0.293,medical,MORTGAGE,0
L00249,53,56420,29219,48,11.49,516,25,8,0.518,debt_consolidation,RENT,0
L00250,30,49534,38182,12,23.82,495,26,2,0.771,vacation,RENT,0
L00251,62,62796,17005,36,9.8,500,2,5,0.271,home_improvement,MORTGAGE,1
L00252,56,61992,44269,24,13.96,665,23,8,0.714,vacation,MORTGAGE,0
L00253,40,82528,16245,60,11.72,827,14,8,0.197,car,MORTGAGE,0
L00254,37,53284,8457,12,11.76,699,10,7,0.159,debt_consolidation,MORTGAGE,0
L00255,24,76502,8749,60,21.0,824,8,4,0.114,medical,MORTGAGE,0
L00256,41,71573,35064,12,19.18,513,1,3,0.49,education,OWN,0
L00257,45,96291,11821,24,23.85,640,11,8,0.123,debt_consolidation,OWN,0
L00258,54,52709,34761,12,16.66,628,19,8,0.659,home_improvement,OWN,0
L00259,45,47433,40051,12,13.8,418,29,5,0.844,car,RENT,0
L00260,32,77638,15119,24,6.71,724,15,3,0.195,debt_consolidation,OWN,0
L00261,29,61937,9664,60,23.93,672,23,5,0.156,debt_consolidation,RENT,0
L00262,57,78069,31281,60,15.48,478,15,4,0.401,debt_consolidation,RENT,0
L00263,59,67902,42279,48,18.31,731,20,8,0.623,medical,RENT,0
L00264,61,17078,33821,60,12.73,701,0,2,1.98,car,MORTGAGE,1
L00265,41,61773,40233,60,15.41,693,15,8,0.651,medical,RENT,0
L00266,56,60601,26647,12,22.91,378,5,6,0.44,debt_consolidation,RENT,0
L00267,46,57395,47325,48,8.16,723,13,4,0.825,medical,RENT,0
L00268,56,52619,6382,24,10.56,417,24,3,0.121,medical,RENT,0
L00269,46,26341,18449,24,7.89,667,24,5,0.7,home_improvement,RENT,0
L00270,50,70735,19263,36,20.05,405,10,6,0.272,vacation,RENT,0
L00271,39,61727,26643,48,6.18,404,0,1,0.432,vacation,RENT,0
L00272,39,74835,11408,12,6.55,602,19,1,0.152,home_improvement,MORTGAGE,0
L00273,23,27302,25606,36,10.67,447,16,3,0.938,home_improvement,MORTGAGE,0
L00274,56,64128,29603,36,14.77,449,22,2,0.462,education,RENT,0
L00275,37,50776,48458,24,12.72,555,18,1,0.954,medical,MORTGAGE,0
L00276,62,57588,7069,60,5.85,381,1,8,0.123,education,OWN,0
L00277,57,50983,21623,12,23.19,315,13,1,0.424,medical,MORTGAGE,0
L00278,54,64784,46440,48,23.1,492,7,8,0.717,car,OWN,1
L00279,25,52068,18891,36,10.31,373,24,5,0.363,vacation,RENT,1
L00280,54,36065,9704,12,18.9,576,22,4,0.269,medical,MORTGAGE,0
L00281,35,56555,30290,24,15.99,360,21,8,0.536,car,RENT,0
L00282,42,51144,29460,36,9.51,835,25,8,0.576,education,RENT,0
L00283,41,53498,19509,36,9.98,834,28,8,0.365,vacation,RENT,0
L00284,29,15000,19269,24,14.33,642,26,3,1.285,car,MORTGAGE,0
L00285,28,67287,9975,24,12.97,694,5,8,0.148,car,OWN,0
L00286,24,49336,46837,24,10.53,557,8,1,0.949,home_improvement,RENT,0
L00287,38,30733,8565,12,20.34,497,4,4,0.279,debt_consolidation,MORTGAGE,0
L00288,54,71606,24467,12,14.15,352,4,5,0.342,debt_consolidation,MORTGAGE,0
L00289,33,66454,6870,12,17.44,570,17,6,0.103,debt_consolidation,RENT,0
L00290,43,49108,20909,60,8.6,500,21,5,0.426,car,RENT,0
L00291,43,34260,11117,36,15.14,695,13,5,0.324,medical,OWN,0
L00292,51,58204,3938,12,11.04,677,11,5,0.068,education,RENT,0
L00293,59,57215,30390,60,15.0,834,27,9,0.531,debt_consolidation,MORTGAGE,0
L00294,59,71638,46322,36,19.84,387,11,3,0.647,medical,MORTGAGE,0
L00295,29,47012,38000,12,19.61,697,21,2,0.808,vacation,RENT,0
L00296,48,76508,22128,24,11.73,481,5,2,0.289,education,RENT,0
L00297,48,45275,33781,48,18.19,582,3,8,0.746,education,RENT,1
L00298,55,30775,5465,12,22.88,832,26,5,0.178,debt_consolidation,OWN,0
L00299,42,34618,2440,48,16.89,489,14,5,0.07,car,RENT,0
L00300,51,53876,7413,12,7.82,504,22,6,0.138,home_improvement,OWN,0
L00301,54,53820,13663,24,17.91,343,14,9,0.254,car,RENT,0
L00302,49,60901,40523,48,6.99,599,24,7,0.665,education,RENT,0
L00303,54,53373,39780,60,21.57,578,16,5,0.745,medical,OWN,0
L00304,26,72591,21547,24,14.82,684,2,5,0.297,vacation,OWN,0
L00305,40,50300,18126,48,12.32,610,9,9,0.36,education,OWN,0
L00306,25,19067,41520,48,6.08,827,24,9,2.178,car,RENT,0
L00307,56,52820,2005,24,12.23,573,29,2,0.038,education,RENT,0
L00308,38,18877,39544,24,22.16,781,20,7,2.095,home_improvement,MORTGAGE,0
L00309,49,59885,9038,24,5.4,750,21,1,0.151,home_improvement,MORTGAGE,0
L00310,51,74029,8414,36,14.02,831,7,4,0.114,vacation,MORTGAGE,0
L00311,50,37247,24123,60,22.69,830,8,2,0.648,debt_consolidation,RENT,0
L00312,27,80534,5970,12,12.5,824,23,9,0.074,car,RENT,0
L00313,56,70170,13050,48,13.14,316,2,6,0.186,education,OWN,0
L00314,62,76716,4606,12,15.99,329,25,4,0.06,car,MORTGAGE,0
L00315,58,58412,18482,24,13.8,769,0,3,0.316,home_improvement,MORTGAGE,0
L00316,45,37130,35293,60,8.2,603,10,4,0.951,medical,MORTGAGE,0
L00317,50,69054,8337,60,5.35,392,12,2,0.121,car,RENT,0
L00318,52,43757,35948,36,16.59,461,11,5,0.822,home_improvement,MORTGAGE,0
L00319,56,57121,26451,24,22.5,627,28,9,0.463,medical,MORTGAGE,0
L00320,54,51915,28265,48,7.02,553,20,6,0.544,debt_consolidation,RENT,0
L00321,42,75244,27714,36,9.01,739,6,2,0.368,debt_consolidation,RENT,0
L00322,53,68145,22875,24,12.03,843,1,6,0.336,home_improvement,OWN,0
L00323,44,53549,15057,36,20.37,419,0,9,0.281,home_improvement,RENT,0
L00324,54,19871,34400,12,10.12,813,19,4,1.731,debt_consolidation,OWN,0
L00325,24,43565,7922,24,21.76,848,2,1,0.182,home_improvement,MORTGAGE,0
L00326,39,67676,5071,48,6.04,396,3,2,0.075,vacation,MORTGAGE,0
L00327,46,60041,24025,48,22.88,669,16,5,0.4,car,MORTGAGE,0
L00328,63,27942,29503,24,15.65,716,17,7,1.056,vacation,OWN,0
L00329,52,22481,25765,36,17.52,556,16,8,1.146,medical,RENT,0
L00330,24,58519,37560,60,11.99,427,18,3,0.642,home_improvement,MORTGAGE,0
L00331,61,35972,48612,24,19.86,658,3,9,1.351,home_improvement,RENT,0
L00332,45,37705,34782,48,8.16,455,28,2,0.922,medical,RENT,1
L00333,53,67106,20799,12,5.93,356,16,4,0.31,car,MORTGAGE,0
L00334,43,76640,37453,48,12.51,375,21,4,0.489,debt_consolidation,RENT,0
L00335,44,41487,29476,60,21.22,457,1,6,0.71,vacation,RENT,0
L00336,23,54194,18212,48,19.34,384,9,6,0.336,car,RENT,0
L00337,48,53663,11428,60,14.83,621,11,3,0.213,debt_consolidation,MORTGAGE,0
L00338,63,52044,33419,24,15.87,608,12,9,0.642,debt_consolidation,RENT,0
L00339,23,55730,10159,48,7.47,829,10,5,0.182,home_improvement,RENT,0
L00340,47,68616,26310,36,20.97,583,20,2,0.383,medical,MORTGAGE,0
L00341,38,42869,38868,36,19.95,341,7,6,0.907,education,OWN,1
L00342,61,27545,41142,48,17.47,433,27,3,1.494,home_improvement,RENT,1
L00343,54,85420,8004,48,13.86,703,28,8,0.094,education,OWN,0
L00344,30,74609,40289,12,23.32,792,19,3,0.54,medical,RENT,0
L00345,64,35134,13412,48,21.7,521,4,5,0.382,home_improvement,RENT,0
L00346,60,57441,13755,12,17.24,528,24,4,0.239,vacation,MORTGAGE,0
L00347,50,73192,21017,12,12.06,751,1,4,0.287,home_improvement,RENT,0
L00348,63,68482,5890,12,16.74,605,11,2,0.086,vacation,MORTGAGE,0
L00349,47,63316,30840,12,15.93,418,27,8,0.487,education,OWN,0
L00350,56,51935,19175,24,12.49,623,1,3,0.369,car,RENT,0
L00351,46,86091,11191,36,10.83,458,5,4,0.13,car,OWN,0
