year,country,avg_temp_c,co2_emissions_mt,renewable_pct,gdp_billion_usd,population_m,energy_use_twh
2006,United Kingdom,12.72,575.8,32.2,10016.2,369.2,4406.5
2007,United Kingdom,12.44,485.2,35.5,9116.8,1200.0,1821.8
2008,United Kingdom,12.18,575.9,36.5,20737.1,1394.6,1053.6
2009,United Kingdom,13.02,505.9,42.7,26493.1,816.9,5682.2
2010,United Kingdom,12.86,624.6,45.6,5925.2,1464.1,2884.9
2011,United Kingdom,12.54,549.9,48.3,24512.5,175.0,765.6
2012,United Kingdom,13.32,604.1,44.3,9118.2,666.4,3650.4
2013,United Kingdom,13.02,543.2,41.9,19161.3,475.0,5240.7
2014,United Kingdom,13.09,463.4,43.4,14301.5,860.6,2668.6
2015,United Kingdom,12.75,587.2,49.5,30922.1,324.4,2370.3
2016,United Kingdom,13.17,708.1,34.9,18277.2,1592.2,4449.1
2017,United Kingdom,12.95,692.3,36.1,23366.4,1027.6,6715.3
2018,United Kingdom,12.8,584.3,38.9,13178.1,1360.2,1579.4
2019,United Kingdom,13.14,586.8,53.0,25596.7,574.5,4794.5
2020,United Kingdom,12.92,608.6,43.5,13661.4,872.3,1730.5
2021,United Kingdom,13.15,630.3,61.4,15534.6,1204.8,5735.6
2022,United Kingdom,13.31,706.4,55.2,23942.9,206.1,5051.6
2023,United Kingdom,13.65,698.5,62.0,9042.8,1202.8,3178.7
1990,France,13.63,606.9,12.7,2226.4,349.7,5017.0
1991,France,12.78,591.1,13.1,11449.4,43.6,1395.2
1992,France,13.2,597.5,14.9,8047.1,622.9,3559.9
1993,France,13.08,611.0,15.8,8936.5,70.9,726.4
1994,France,13.48,594.0,17.2,14436.9,533.0,2498.6
1995,France,13.73,589.8,16.4,4193.2,825.2,4618.0
1996,France,13.36,591.2,18.9,3858.7,1162.3,5627.8
1997,France,13.22,652.7,16.7,20421.4,1199.5,1276.2
1998,France,13.34,597.3,18.7,20925.2,952.0,3108.0
1999,France,13.61,641.4,21.7,23977.0,518.7,1240.5
2000,France,13.19,591.9,19.9,17445.2,599.6,4845.6
2001,France,13.37,634.9,26.9,8126.2,606.5,1421.6
2002,France,13.56,582.9,19.7,6285.1,1018.5,1023.0
2003,France,13.43,626.7,25.6,1899.8,1099.1,3777.3
2004,France,13.42,638.9,27.7,29248.1,476.2,5178.2
2005,France,13.79,627.2,22.4,6990.1,716.9,4784.5
2006,France,13.78,636.7,25.2,17884.6,1155.1,2170.3
2007,France,13.51,721.3,30.1,5228.2,1285.2,1380.7
2008,France,13.45,685.2,33.1,11575.5,1256.3,4132.8
2009,France,13.91,634.2,36.1,8708.4,539.5,2519.4
2010,France,14.28,589.2,27.1,22546.7,750.6,3604.2
2011,France,13.11,630.7,31.0,21915.5,993.4,3502.4
2012,France,14.15,608.7,24.5,21396.4,1575.9,4973.5
2013,France,13.55,609.5,38.7,26334.6,425.1,1298.0
2014,France,13.51,682.4,23.2,19280.4,787.2,5058.1
2015,France,13.55,583.9,25.8,15247.2,334.6,1766.9
2016,France,13.66,650.7,35.0,25146.9,599.8,5021.4
2017,France,14.41,779.2,38.3,18106.8,525.3,4476.0
2018,France,13.78,762.4,34.8,18904.7,178.0,3710.6
2019,France,13.96,777.7,31.2,8902.0,307.7,1746.1
2020,France,14.32,810.6,40.2,26190.5,894.7,6019.9
2021,France,13.69,602.1,33.4,18903.1,659.0,6293.3
2022,France,13.4,731.6,44.0,12559.4,1005.5,3914.7
2023,France,14.13,558.5,41.5,12629.0,1251.0,1737.7
1990,Japan,19.91,268.6,5.1,16137.0,1254.3,5096.2
1991,Japan,18.89,257.4,6.9,5148.0,914.5,5826.5
1992,Japan,19.57,259.0,4.7,2798.5,1200.8,5115.5
1993,Japan,19.63,268.3,5.9,10467.1,1379.9,245.3
1994,Japan,19.44,254.1,10.4,13647.5,425.1,4375.2
1995,Japan,19.68,283.2,11.1,15431.3,930.9,1352.3
1996,Japan,19.16,301.0,12.3,7966.2,836.6,4428.3
1997,Japan,20.0,252.2,6.7,21478.9,1183.8,5038.0
1998,Japan,19.65,274.5,9.5,21951.9,374.1,1313.0
1999,Japan,19.09,289.6,14.4,27087.3,983.2,3037.9
2000,Japan,19.55,302.3,15.2,23279.3,288.8,3604.3
2001,Japan,19.35,236.7,14.5,17997.9,696.3,5526.0
2002,Japan,19.28,234.7,15.1,24091.2,1102.0,4679.9
2003,Japan,19.65,352.0,14.7,5486.0,1160.4,2858.7
2004,Japan,19.72,330.5,20.9,26630.6,213.7,6090.6
2005,Japan,19.8,283.5,12.3,12510.6,273.3,4786.4
2006,Japan,20.24,204.0,24.4,26192.2,592.4,924.6
2007,Japan,19.4,304.5,12.7,20507.9,1220.3,2843.0
2008,Japan,19.69,380.4,12.8,5959.5,592.3,5418.9
2009,Japan,20.24,271.4,17.9,5670.9,102.7,3778.7
2010,Japan,20.02,360.5,18.8,19315.3,538.5,1383.4
2011,Japan,20.15,301.5,24.7,22865.3,1378.8,3310.3
2012,Japan,20.08,385.9,21.3,22760.2,634.9,4583.8
2013,Japan,19.44,428.0,19.5,16655.8,854.7,5734.9
2014,Japan,20.44,367.5,18.4,10277.0,1192.5,4092.8
2015,Japan,20.17,392.2,33.7,16954.7,834.4,3593.1
2016,Japan,20.37,403.0,17.7,29246.7,1229.1,2981.6
2017,Japan,19.93,325.9,25.2,14824.6,877.6,5150.6
2018,Japan,20.55,326.5,34.1,6562.0,1265.4,6051.0
2019,Japan,20.43,287.5,27.6,13205.0,565.7,6923.4
2020,Japan,20.33,383.9,31.4,25078.9,969.8,6214.9
2021,Japan,20.57,498.4,19.3,21669.4,1476.5,1217.9
2022,Japan,20.57,239.7,19.6,16653.6,1263.2,4306.6
2023,Japan,20.79,239.7,44.9,14865.1,671.2,3111.8
